,Pred 0,Pred 1,Pred 2,Pred 3,Pred 4,Pred 5,Pred 6,Pred 7,Pred 8
True 0,240,16,1,0,0,0,2,0,0
True 1,15,1173,3,37,0,2,0,0,0
True 2,9,28,1716,0,139,0,7,0,0
True 3,0,69,0,152,0,13,0,0,0
True 4,0,4,237,1,820,0,22,0,0
True 5,0,13,0,16,0,180,0,11,0
True 6,8,1,67,1,128,2,2726,0,46
True 7,0,0,0,0,0,21,0,65,0
True 8,0,0,3,0,1,0,106,1,418
