,Pred 0,Pred 1,Pred 2,Pred 3,Pred 4,Pred 5,Pred 6,Pred 7,Pred 8
True 0,242,17,0,0,0,0,0,0,0
True 1,14,1165,7,41,0,3,0,0,0
True 2,14,27,1653,1,194,0,10,0,0
True 3,0,74,2,158,0,0,0,0,0
True 4,1,4,279,1,759,0,40,0,0
True 5,0,14,0,16,0,174,0,16,0
True 6,8,1,76,1,122,2,2723,0,46
True 7,0,0,0,0,0,18,0,68,0
True 8,0,0,2,0,2,0,107,1,417
