,BirthYear,HasSibling,Age,Sex,SingleorDoubleParent,EMP_HOURS_17,EMP_HOURS_18,EMP_HOURS_19,EMP_HOURS_20,EMP_HOURS_21,EMP_HOURS_22,EMP_HOURS_23,EMP_HOURS_24,EMP_HOURS_25,EMP_HOURS_26,EMP_HOURS_27,EMP_HOURS_28,EMP_HOURS_29,EMP_HOURS_30,EMP_HOURS_31,EMP_HOURS_32,EMP_HOURS_33,EMP_HOURS_34,EMP_HOURS_35,EducationStat_17,EducationStat_18,EducationStat_19,EducationStat_20,EducationStat_21,EducationStat_22,EducationStat_23,EducationStat_24,EducationStat_25,EducationStat_26,EducationStat_27,EducationStat_28,EducationStat_29,EducationStat_30,EducationStat_31,EducationStat_32,EducationStat_33,EducationStat_34,EducationStat_35,FinalRelationshipStat_17,FinalRelationshipStat_18,FinalRelationshipStat_19,FinalRelationshipStat_20,FinalRelationshipStat_21,FinalRelationshipStat_22,FinalRelationshipStat_23,FinalRelationshipStat_24,FinalRelationshipStat_25,FinalRelationshipStat_26,FinalRelationshipStat_27,FinalRelationshipStat_28,FinalRelationshipStat_29,FinalRelationshipStat_30,FinalRelationshipStat_31,FinalRelationshipStat_32,FinalRelationshipStat_33,FinalRelationshipStat_34,FinalRelationshipStat_35
3,1981,0,16,1,0,2,0,2,1,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,8,3,3,3,4,4,4,9,9,4,4,4,4,4,4,4,4,4,4,1,2,2,2,4,4,4,2,4,4,4,4,4,4,4,4,4,4,2
8,1982,1,15,0,1,0,0,0,0,0,0,0,2,1,1,2,2,2,2,2,2,2,2,2,8,10,10,10,10,10,6,6,6,6,11,11,7,7,7,7,7,7,7,0,0,0,1,1,1,1,1,1,1,1,1,1,3,3,3,5,5,5
10,1982,0,15,1,0,0,0,0,0,0,0,0,2,2,2,1,1,0,2,2,2,2,2,2,8,3,4,9,9,4,10,4,10,10,10,10,10,6,10,10,10,6,6,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,2,6,6,6
15,1982,0,15,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,2,2,8,8,3,10,10,9,9,9,9,5,10,5,5,5,5,5,5,10,10,0,0,4,2,2,2,2,2,2,2,2,4,4,4,4,2,2,2,2
22,1983,0,14,1,0,1,2,0,0,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,8,8,3,4,9,9,9,5,10,10,10,10,6,6,6,10,10,10,6,1,1,5,5,6,6,6,6,6,6,6,8,8,8,8,8,8,8,6
25,1980,0,17,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
34,1983,0,14,0,1,0,1,1,0,0,1,0,2,2,2,2,2,2,2,2,2,2,2,2,8,8,3,10,10,10,10,6,6,6,6,6,6,6,6,6,6,6,6,0,1,1,1,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4
37,1981,1,16,1,1,0,0,0,0,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,8,10,10,10,10,6,6,6,6,6,6,6,6,6,6,6,6,6,6,0,0,1,1,1,1,1,1,1,3,3,3,3,1,1,1,1,1,3
40,1983,0,14,1,1,0,2,0,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,0,3,3,10,10,10,10,10,6,6,10,6,6,6,6,6,6,6,6,6,1,1,1,1,1,1,2,2,2,2,2,2,2,2,4,6,6,6,6
48,1982,0,15,1,0,0,1,0,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,8,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,6,6,6,6,6,6,6,6,6
51,1983,1,14,0,0,0,0,0,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,8,8,8,3,9,4,4,4,4,4,9,4,4,4,4,4,4,4,4,2,2,2,2,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6
55,1982,0,15,1,1,1,0,0,1,1,2,1,1,2,2,2,2,2,2,0,2,2,0,2,8,10,10,10,10,6,11,11,7,7,7,7,7,7,7,7,7,7,7,1,1,1,1,2,4,2,2,4,6,6,6,6,6,6,6,6,6,6
60,1983,0,14,1,0,1,2,2,2,2,2,0,2,2,2,2,2,0,2,2,2,2,2,2,8,9,9,9,5,5,5,5,5,5,5,5,5,5,5,5,10,6,6,0,2,2,2,4,6,6,6,8,8,8,8,8,8,8,8,8,8,8
61,1980,1,17,0,1,0,0,0,0,0,2,2,1,2,2,2,2,1,2,2,2,2,2,2,8,3,10,10,10,6,6,6,6,6,6,6,6,6,6,6,6,6,6,0,0,0,0,1,1,1,1,2,4,4,4,4,4,6,6,6,6,6
63,1980,0,17,0,1,0,0,0,2,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,1,8,9,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
66,1980,1,17,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,1,1,2,2,8,10,10,10,10,10,4,11,11,11,11,7,7,7,7,7,7,7,7,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
67,1981,1,16,0,0,0,0,1,0,2,0,0,0,0,0,1,2,0,0,0,0,0,0,0,8,8,10,4,4,4,4,4,4,10,4,9,9,9,5,5,5,5,10,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
77,1981,0,16,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,2,1,1,1,0,1,8,8,3,3,3,9,9,9,9,5,5,5,5,5,5,5,5,5,5,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
79,1981,0,16,0,0,1,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,8,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
85,1980,0,17,1,1,0,1,0,1,1,2,2,0,0,2,2,2,2,2,2,2,2,2,2,8,8,3,9,4,4,9,10,10,10,6,11,11,11,7,7,7,7,7,0,0,1,1,4,4,4,4,4,6,6,6,6,6,6,6,6,6,6
89,1981,1,16,0,1,0,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,8,8,3,3,3,3,3,10,10,10,10,10,10,10,10,10,10,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,1983,0,14,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,8,8,8,3,9,4,9,9,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,1980,0,17,0,1,0,0,2,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,8,9,9,10,10,10,6,6,6,6,6,6,6,6,6,6,6,6,6,0,0,0,0,1,1,1,1,2,2,6,6,8,8,8,8,8,8,8
103,1980,1,17,1,1,0,0,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,0,2,8,10,10,10,10,6,6,6,6,6,6,6,6,6,6,6,6,6,10,0,0,1,1,1,1,1,1,1,1,1,3,3,5,5,5,5,5,5
107,1984,1,13,0,1,0,0,0,0,0,2,2,0,2,2,2,2,2,2,2,2,2,2,2,8,10,10,10,10,6,6,6,6,6,6,6,6,6,6,6,6,6,11,0,0,0,0,0,1,1,1,1,3,1,1,3,5,5,5,5,5,5
108,1982,1,15,1,1,1,0,0,0,0,2,2,2,2,2,2,2,2,1,0,0,0,0,0,8,10,10,10,10,6,6,6,6,6,6,6,6,6,6,6,6,6,6,0,0,1,1,1,2,2,2,2,2,2,4,6,6,6,6,6,6,6
112,1984,0,13,0,0,0,2,1,1,2,2,0,0,2,0,2,2,2,2,0,2,2,2,2,8,10,4,10,10,11,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,4,4,2,2,2,2,2,4,4,4,4,4
121,1984,1,13,0,1,0,2,1,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,8,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,6,6,6
136,1980,0,17,1,0,2,0,0,1,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,3,2,2,2,4,4,6,6,6,6,6,6,6,6,6,6,6,6
141,1981,0,16,1,0,1,2,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,8,9,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,2,2,2,6,6,6,6,6,8,6,6,8,8,8,6,6,6,6
143,1982,1,15,0,0,1,1,1,2,2,2,2,0,2,2,2,2,2,2,0,2,2,2,2,8,9,9,9,9,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
147,1982,0,15,1,0,0,0,0,2,2,1,2,2,2,1,0,0,0,2,2,2,2,2,2,8,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
148,1983,1,14,1,0,2,0,1,2,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,8,9,9,9,10,10,10,4,4,4,4,4,4,4,4,4,4,4,4,1,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
152,1980,0,17,1,0,0,0,0,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1,8,8,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
154,1980,1,17,0,1,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,8,10,10,10,10,6,6,6,6,6,6,6,6,6,6,6,6,6,6,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
156,1982,0,15,1,1,0,0,0,2,1,0,0,2,2,2,2,2,2,2,2,2,2,2,2,8,10,4,10,10,10,10,6,6,6,6,6,6,6,6,6,6,6,6,1,1,1,2,2,2,2,2,4,6,6,6,6,6,6,6,6,6,6
160,1982,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,8,8,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,4,4,4,2,2,2,2,2,2,2,4,4,4,4,4
164,1980,1,17,0,1,0,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,8,10,10,10,10,6,6,6,6,6,6,6,6,6,6,6,6,6,6,0,0,0,2,2,2,2,4,4,6,6,6,6,6,6,6,6,6,6
165,1982,1,15,1,1,1,0,1,1,1,2,2,0,0,2,2,2,2,2,2,1,1,1,1,8,3,10,10,10,6,6,10,6,6,6,6,6,6,6,6,6,6,6,0,0,0,1,1,1,2,2,2,2,2,2,2,4,6,6,6,6,6
166,1984,0,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
168,1983,1,14,1,1,0,2,2,1,0,2,1,2,0,0,0,2,0,0,0,2,0,0,2,8,8,1,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,0,0,2,2,4,4,4,4,2,4,4,4,2,4,2,4,4,2,4
169,1984,1,13,1,1,1,2,2,0,0,2,2,2,2,0,0,0,2,2,2,2,2,2,2,8,3,3,10,10,4,10,10,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1
170,1984,0,13,1,1,0,1,2,2,2,2,2,2,2,2,0,0,0,0,1,1,1,2,2,8,10,4,10,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,2,2,2,2,2,6,6,6,6,6,6,6,6,6,6,6,6,6
174,1981,0,16,1,1,0,0,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,8,10,10,10,10,11,11,11,6,6,6,6,6,6,11,11,7,7,7,0,1,1,1,1,1,1,1,1,3,3,3,5,5,5,5,5,5,5
175,1982,0,15,0,1,1,0,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,8,10,10,10,10,11,6,6,6,6,6,6,6,6,6,6,6,6,6,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6,6,6,6,6
176,1980,0,17,1,1,1,1,0,1,1,1,0,2,2,1,2,2,2,2,2,2,2,2,2,8,8,10,10,10,10,10,11,11,11,11,7,7,11,7,7,7,7,7,0,0,1,1,1,1,2,2,2,2,2,6,6,6,6,6,6,6,6
180,1982,1,15,1,1,0,1,1,1,0,1,2,2,2,2,0,0,1,1,1,1,2,2,2,8,8,10,10,10,10,6,11,11,7,7,11,11,7,11,11,11,11,11,0,1,1,1,1,1,1,4,4,6,6,6,6,8,8,8,6,6,6
181,1984,1,13,1,1,1,1,1,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,8,10,10,10,10,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,1,1,2,2,2,2,4,4,4,6,6,6,6,6,6,6,6,6
186,1983,0,14,0,1,1,1,1,0,1,1,2,0,0,0,0,0,0,0,0,2,2,2,2,8,10,10,10,10,10,6,6,6,6,6,6,6,6,6,6,6,6,6,1,4,4,4,4,2,4,4,6,6,6,6,6,6,6,6,6,6,6
200,1983,0,14,1,1,1,1,1,1,1,1,2,2,0,1,1,1,0,2,2,2,2,2,2,8,3,10,10,10,6,6,6,6,6,6,11,7,7,7,7,7,7,7,1,1,1,1,1,1,2,2,2,4,4,4,4,4,4,4,4,4,4
205,1982,0,15,0,1,2,1,1,2,2,2,2,2,2,1,1,2,0,0,2,2,2,2,2,8,8,9,9,9,9,10,10,10,10,10,10,6,6,6,6,6,6,6,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,6,6,6
212,1982,1,15,1,1,0,0,1,1,0,0,2,0,0,2,2,0,0,2,0,0,0,0,0,8,9,9,9,10,10,5,5,5,5,5,5,5,5,5,5,5,5,5,0,0,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
214,1981,0,16,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,8,3,9,4,4,4,4,4,4,4,9,9,9,4,4,4,10,10,10,1,1,1,1,1,2,2,2,2,2,2,2,2,4,4,4,4,4,4
220,1984,0,13,1,0,0,0,2,2,2,2,2,0,2,2,2,2,2,2,1,2,2,2,2,8,9,4,9,9,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,2,2,2,2,4,4,4,4,4,4,6,6,8,8,8,8,8,8
222,1981,1,16,0,1,2,2,0,1,1,1,2,0,2,2,2,2,0,0,0,0,0,0,0,8,10,10,10,10,10,10,10,10,10,10,10,9,9,10,10,10,10,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
223,1982,0,15,1,0,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,8,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,1,1,1,1,2,4,4,4,6,6,6,6,6,6,6,6,6
232,1980,0,17,0,1,0,1,2,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,8,8,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4
233,1983,0,14,1,0,0,2,0,2,2,2,2,2,0,2,2,2,2,1,1,2,2,2,2,8,8,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,9,9,2,2,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4
234,1981,0,16,1,1,1,2,2,2,2,2,2,0,2,2,2,2,0,2,2,2,2,2,2,8,10,10,10,10,10,6,6,6,6,6,6,6,6,6,6,6,6,6,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
235,1984,0,13,1,0,1,0,0,2,2,2,2,2,2,2,2,2,2,2,0,2,1,0,1,8,9,9,5,5,5,5,5,5,5,5,5,5,5,5,5,9,9,10,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1
237,1981,0,16,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,8,10,10,10,10,10,10,10,4,6,6,6,6,6,6,6,6,6,6,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
239,1983,1,14,1,1,0,0,0,0,0,2,2,2,2,2,2,2,0,2,2,2,2,2,2,8,10,10,10,10,6,6,6,6,6,6,6,6,6,6,6,6,6,6,0,1,1,1,1,1,2,2,2,2,2,2,4,6,6,6,6,6,6
240,1983,1,14,1,1,0,1,1,0,2,1,2,0,2,2,2,2,2,2,2,2,2,2,2,8,10,10,10,10,6,11,11,11,11,11,7,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0,2,2,2,4,4,4,4,4,6,6,6
243,1983,0,14,0,1,1,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,8,3,10,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,1,1,1,1,1,1,2,2,2,2,2,6,6,6,6,6,6,6
245,1980,0,17,0,0,0,2,0,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,8,10,10,10,10,11,11,11,11,11,11,7,7,7,7,7,7,7,7,0,0,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,4,6
246,1982,1,15,0,1,1,1,1,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,8,10,10,10,10,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
255,1980,1,17,0,1,0,0,0,0,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,8,8,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,2,2,2,2,2,2,4,4,4,4,4
257,1982,0,15,0,1,0,1,1,1,1,2,2,1,0,1,2,0,0,2,2,2,2,2,2,8,3,10,10,10,6,11,6,6,6,6,6,11,10,6,6,6,6,6,0,1,1,1,1,2,2,2,4,4,6,6,6,6,6,6,6,6,6
259,1980,0,17,0,0,0,0,0,0,0,1,2,2,2,2,2,2,0,1,0,0,2,2,2,8,8,10,10,10,10,10,6,6,6,6,6,6,6,6,6,6,6,6,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
260,1983,0,14,0,0,0,0,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,8,8,8,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3
262,1983,1,14,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
263,1982,0,15,0,1,0,1,2,1,0,1,2,2,2,2,0,2,2,2,2,2,2,2,2,8,8,3,4,9,9,4,9,4,9,9,10,10,10,10,10,10,10,10,1,1,1,1,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6
266,1980,0,17,1,1,0,0,0,0,1,0,0,2,2,2,2,2,2,2,2,2,1,1,1,8,8,9,9,10,10,11,7,7,7,7,7,7,7,7,7,7,7,7,0,1,1,1,1,1,1,1,2,4,4,4,4,2,2,6,6,6,6
270,1982,0,15,1,1,1,2,1,2,0,2,2,2,2,2,0,0,0,2,2,2,2,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,4,4,4,4,4,4,6,6,6,6,6,6,6,6,6,6,6
271,1982,0,15,1,0,0,1,0,1,0,0,2,0,2,0,2,0,2,2,0,0,0,0,0,8,8,8,8,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6,6,6,6,8,8,8,6,8,8,8,8,8,8,8
277,1980,0,17,0,1,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,8,10,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,2,2,4,2,2,2,6,6,6,6,6,6,6,6,6,6,6
280,1984,0,13,0,0,1,1,0,2,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,8,8,9,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
282,1984,1,13,0,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,8,9,9,9,4,9,5,5,5,5,5,5,5,5,5,5,5,5,5,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
287,1983,1,14,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,8,8,10,9,4,4,4,4,4,4,4,9,5,5,5,5,5,5,5,0,0,2,2,2,2,2,2,4,4,2,2,2,2,2,2,2,2,2
290,1980,0,17,1,1,0,2,2,2,0,2,2,2,2,2,2,2,2,0,0,0,0,0,0,8,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
291,1984,0,13,1,1,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,8,9,9,9,4,4,4,4,4,4,4,4,4,4,9,5,5,5,5,2,2,2,2,2,2,2,2,2,2,4,4,4,2,2,2,2,2,2
295,1981,1,16,1,1,1,1,2,2,2,2,2,2,2,2,2,0,2,2,2,0,2,2,2,8,8,3,9,9,9,4,4,9,6,6,6,6,6,6,6,6,6,6,1,1,1,1,2,2,2,6,6,6,6,8,8,6,6,6,6,6,6
297,1983,0,14,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,8,4,10,10,10,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,1,3,1,3,3,3,3,1,3,3,3,3,3,1,1,1,1,3
298,1981,0,16,0,1,0,1,0,1,1,1,2,2,1,1,1,2,1,1,1,1,0,2,2,8,8,8,8,8,4,4,4,9,9,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,3,5,5,5,5,5,5,5,5
312,1981,1,16,1,1,0,0,1,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,1,10,10,10,10,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,1,1,1,2,4,2,2,4,6,6,6,6,6,6,6,6,6,6
320,1981,0,16,0,1,1,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,8,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,2,2,2,2,4,4,6,6,6,6,6,6,6,6,6,8,8
321,1982,0,15,1,0,0,1,1,1,2,2,2,2,1,2,2,0,1,2,2,2,2,2,2,8,10,10,10,10,6,6,6,6,11,11,11,11,7,7,7,7,7,7,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
322,1980,0,17,0,0,1,0,0,0,0,1,1,1,2,2,2,2,2,2,2,2,2,2,2,8,3,9,10,10,4,10,4,4,4,4,10,4,4,4,4,4,4,4,0,0,1,1,1,1,1,1,3,3,4,4,4,4,4,4,4,4,6
326,1983,0,14,1,1,1,1,1,1,2,1,1,2,2,2,2,2,0,2,2,2,2,2,2,8,10,10,10,10,11,11,11,11,7,7,7,7,7,7,7,7,7,7,1,1,1,1,2,2,2,2,2,2,6,6,6,6,6,6,6,6,6
332,1982,1,15,1,0,2,2,2,1,1,2,2,1,2,2,1,1,1,2,2,2,2,2,2,8,8,9,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,1,1,1,3,3,3,3,1,1,3,3,5,5,5,5,5,5
336,1983,0,14,0,1,1,0,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,8,3,10,10,10,10,4,4,4,4,4,4,4,4,4,4,4,4,4,0,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,4,4,6
337,1981,0,16,1,1,0,0,0,0,0,2,2,2,2,2,0,0,0,0,1,1,1,1,0,8,10,10,10,10,6,6,6,6,6,6,11,11,11,7,7,7,7,7,1,1,1,1,1,1,2,2,2,4,4,4,6,6,6,6,6,6,6
339,1981,1,16,0,1,2,0,1,1,1,1,1,0,1,0,0,0,0,0,2,2,2,2,1,8,8,9,9,9,9,10,10,10,10,11,11,11,7,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
340,1983,1,14,0,1,0,0,1,1,1,1,0,2,2,2,2,2,2,2,2,2,0,2,2,8,8,10,10,10,10,10,6,6,6,6,6,6,6,6,6,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
345,1984,0,13,0,0,1,2,2,0,0,0,0,2,0,1,2,2,2,2,2,2,2,2,2,8,9,9,9,9,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,2,2,2,6,8,8,8,8,8,8,8,8,8,8,8,8
346,1981,1,16,0,1,0,0,0,2,1,2,2,1,2,2,1,1,1,1,1,1,1,0,0,8,8,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
347,1983,1,14,0,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,8,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,4,4,4,4,4,6,6,6,6,6,6,6,6,6,6,6
348,1984,1,13,0,1,0,2,2,0,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,8,8,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,4,2,4,2,2,2,4,2,2,2,2,2,2,2,2,2,2,4
353,1982,1,15,1,1,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,8,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
358,1983,1,14,1,1,1,2,2,2,2,2,2,2,2,0,0,2,2,2,2,2,2,2,2,8,3,10,10,10,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,2,2,2,2,2,6,6,6,6,6,6,8,8,8,8,8
361,1981,1,16,1,1,2,0,2,0,2,2,2,2,0,1,2,2,2,2,2,2,2,2,2,8,3,3,3,3,3,9,4,4,9,4,4,4,4,4,4,4,4,4,1,4,4,4,4,4,6,6,6,6,6,6,6,6,6,8,8,8,8
362,1983,1,14,1,1,0,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,8,3,9,9,9,9,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,4,4,6,6,6,6,6,6,6,6,6,6
365,1980,1,17,1,1,0,0,0,0,0,1,2,2,2,2,2,2,2,2,2,2,0,0,2,8,10,10,10,10,10,10,11,10,11,6,6,6,6,6,6,6,6,6,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,6,6,6
367,1981,1,16,1,1,0,1,1,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,8,3,3,9,9,4,9,4,9,4,4,4,4,4,4,4,4,4,4,1,1,1,2,2,2,2,2,2,2,6,6,6,6,6,6,6,6,6
370,1982,1,15,1,0,2,2,0,2,2,2,2,2,0,1,0,0,2,0,0,0,0,0,2,1,1,1,1,1,1,1,1,8,1,1,1,1,1,1,1,1,1,1,4,4,6,6,6,6,6,8,8,6,6,6,6,6,6,8,8,8,8
