,Pred 0,Pred 1,Pred 2,Pred 3,Pred 4,Pred 5,Pred 6,Pred 7,Pred 8
True 0,5,37,54,1,5,5,151,0,1
True 1,3,152,285,2,25,5,751,1,6
True 2,3,111,763,1,49,4,956,0,12
True 3,0,29,32,0,5,1,163,0,4
True 4,3,46,401,0,31,1,592,0,10
True 5,1,8,53,0,3,5,150,0,0
True 6,2,138,631,9,71,7,2099,2,20
True 7,0,3,24,0,6,1,52,0,0
True 8,0,23,181,0,14,4,295,3,9
