,Pred 0,Pred 1,Pred 2,Pred 3,Pred 4,Pred 5,Pred 6,Pred 7,Pred 8
True 0,0,61,43,0,0,0,155,0,0
True 1,0,209,287,0,0,0,734,0,0
True 2,0,187,702,0,0,0,1010,0,0
True 3,0,22,49,0,0,0,163,0,0
True 4,0,64,466,0,0,0,554,0,0
True 5,0,19,40,0,0,0,161,0,0
True 6,0,170,635,0,0,0,2174,0,0
True 7,0,3,17,0,0,0,66,0,0
True 8,0,21,159,0,0,0,349,0,0
