,Pred 0,Pred 1,Pred 2,Pred 3,Pred 4,Pred 5,Pred 6,Pred 7,Pred 8
True 0,259,0,0,0,0,0,0,0,0
True 1,15,1181,0,34,0,0,0,0,0
True 2,9,27,1726,1,136,0,0,0,0
True 3,0,63,0,171,0,0,0,0,0
True 4,0,3,226,2,853,0,0,0,0
True 5,0,12,0,18,0,186,0,4,0
True 6,8,1,67,1,142,2,2712,0,46
True 7,0,0,0,0,0,17,0,69,0
True 8,0,0,3,0,1,0,101,1,423
