"EMP_HOURS_1997.48","EMP_HOURS_1998.48","EMP_HOURS_1999.48","EMP_HOURS_2000.48","EMP_HOURS_2001.48","EMP_HOURS_2002.48","EMP_HOURS_2003.48","EMP_HOURS_2004.48","EMP_HOURS_2005.48","EMP_HOURS_2006.48","EMP_HOURS_2007.48","EMP_HOURS_2008.48","EMP_HOURS_2009.48","EMP_HOURS_2010.48","EMP_HOURS_2011.48","EMP_HOURS_2012.48","EMP_HOURS_2013.48","EMP_HOURS_2014.48","EMP_HOURS_2015.48","EMP_HOURS_2016.48","EMP_HOURS_2017.48","EMP_HOURS_2018.48","EMP_HOURS_2019.48","SCH_COLLEGE_STATUS_2012.12","SCH_COLLEGE_STATUS_2013.12","SCH_COLLEGE_STATUS_2014.12","SCH_COLLEGE_STATUS_2015.12","SCH_COLLEGE_STATUS_2016.12","SCH_COLLEGE_STATUS_2017.12","SCH_COLLEGE_STATUS_2018.12","SCH_COLLEGE_STATUS_2019.12","MAR_STATUS_1997.12","MAR_STATUS_1998.12","MAR_STATUS_1999.12","MAR_STATUS_2000.12","MAR_STATUS_2001.12","MAR_STATUS_2002.12","MAR_STATUS_2003.12","MAR_STATUS_2004.12","MAR_STATUS_2005.12","MAR_STATUS_2006.12","MAR_STATUS_2007.12","MAR_STATUS_2008.12","MAR_STATUS_2009.12","MAR_STATUS_2010.12","MAR_STATUS_2011.12","MAR_STATUS_2012.12","MAR_STATUS_2013.12","MAR_STATUS_2014.12","MAR_STATUS_2015.12","MAR_STATUS_2016.12","MAR_STATUS_2017.12","MAR_STATUS_2018.12","MAR_STATUS_2019.12","PUBID","YSAQ-299","YOUTH_NONR1INHH.01","YOUTH_PARENTGUAR.01","KEY!SEX","KEY!AGEDOL","CV_ENROLLSTAT","CV_BIO_CHILD_HH","CV_BIO_CHILD_NR","CV_SAMPLE_TYPE","YOUTH_SIBID01.01","YOUTH_SIBID02.01","YOUTH_SIBID03.01","YOUTH_SIBID04.01","KEY!RACE_ETHNICITY","YSAQ-299","YSAQ-299B","CV_ENROLLSTAT_EDT","CV_BIO_CHILD_HH","CV_BIO_CHILD_NR","YSAQ-299","YSAQ-299B","CV_ENROLLSTAT_EDT","CV_BIO_CHILD_HH","CV_BIO_CHILD_NR","YSAQ-299","YSAQ-299B","CV_ENROLLSTAT_EDT","CV_BIO_CHILD_HH","CV_BIO_CHILD_NR","YSAQ-299","YSAQ-299B","CV_ENROLLSTAT_EDT","CV_BIO_CHILD_HH","CV_BIO_CHILD_NR","YSAQ2-299","YSAQ2-299B","CV_ENROLLSTAT_EDT","CV_BIO_CHILD_HH","CV_BIO_CHILD_NR","CV_ENROLLSTAT_EDT","CV_BIO_CHILD_HH","CV_BIO_CHILD_NR","YSAQ2-299","YSAQ2-299B","CV_ENROLLSTAT_EDT","CV_BIO_CHILD_HH","CV_BIO_CHILD_NR","YSAQ2-299","YSAQ2-299B","CV_ENROLLSTAT","CV_BIO_CHILD_HH","CV_BIO_CHILD_NR","YSAQ2-299","YSAQ2-299B","CV_ENROLLSTAT","CV_BIO_CHILD_HH","CV_BIO_CHILD_NR","YSAQ2-299B","CV_ENROLLSTAT","CV_BIO_CHILD_HH","CV_BIO_CHILD_NR","YSAQ2-299B","CV_ENROLLSTAT","CV_BIO_CHILD_HH","CV_BIO_CHILD_NR","YSAQ2-299B","CV_ENROLLSTAT","CV_BIO_CHILD_HH","CV_BIO_CHILD_NR","YSAQ2-299B","CV_ENROLLSTAT","CV_BIO_CHILD_HH","CV_BIO_CHILD_NR","YSAQ2-299B","CV_ENROLLSTAT","CV_BIO_CHILD_HH","CV_BIO_CHILD_NR","YSAQ2-299B","CV_BIO_CHILD_HH","CV_BIO_CHILD_NR","YSAQ2-299","CV_BIO_CHILD_HH","CV_BIO_CHILD_NR","YSAQ2-299","CV_BIO_CHILD_HH","CV_BIO_CHILD_NR","CV_BIO_CHILD_HH_U18","CV_BIO_CHILD_NR_U18"
-4,29,-4,-4,-4,-4,-4,-4,-4,30,35,35,21,21,-4,40,40,35,35,35,35,35,35,1,3,3,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,2,2,2,11,0,0,1,2,14,8,-4,-4,1,-4,-4,-4,-4,2,-4,1,8,-4,-4,-4,1,8,-4,-4,-4,1,3,-4,-4,-4,1,4,-4,-4,-4,-4,9,-4,-4,9,-4,-4,-4,1,4,0,1,-4,1,10,1,0,-4,1,4,1,0,1,10,1,0,1,10,1,0,1,10,1,0,1,10,1,0,1,-3,0,1,1,0,0,-4,0,0,-4,1,0,1,0
-4,-4,37,50,40,-3,80,42,40,60,110,-4,75,75,50,50,40,40,40,40,40,50,50,1,1,1,1,1,3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,12,0,0,1,1,15,8,-4,-4,1,-4,-4,-4,-4,2,-4,0,8,-4,-4,-4,0,1,-4,-4,-4,0,1,-4,-4,-4,0,1,-4,-4,-4,-4,2,-4,-4,10,-4,-4,-4,-4,10,-4,-4,-4,-4,-5,-5,-5,-5,-5,4,-4,-4,-1,4,-4,-4,1,4,-4,-4,1,4,-4,-4,1,4,-4,-4,1,4,-4,-4,1,-4,-4,-4,-4,-4,-4,1,0,1,0
-4,-4,-4,-4,-3,-3,12,-4,60,45,40,40,40,40,40,40,28,-3,-3,-3,-3,-3,-3,1,1,1,1,1,1,1,1,-4,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,13,-4,0,1,1,12,8,-4,-4,1,-4,-4,-4,-4,2,-4,-4,1,-4,-4,0,-4,8,-4,-4,-4,0,8,-4,-4,-4,1,1,-4,-4,-4,1,8,-4,-4,1,-4,-4,-4,0,1,-4,-4,-4,-4,1,-4,-4,-4,0,1,-4,-4,1,1,-4,-4,1,1,-4,-4,0,1,-4,-4,0,1,-4,-4,0,1,-4,-4,0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
-4,-4,40,40,40,40,40,40,40,40,40,40,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,1,1,1,16,8,-4,-4,1,-4,-4,-4,-4,2,-4,1,8,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,2,0,1,-1,-5,-5,-5,0,1,-4,0,1,-5,-5
-4,-4,-4,-4,-4,-4,-4,40,35,40,35,34,34,20,30,40,40,40,40,40,-4,-4,-4,3,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,15,-4,1,1,2,13,8,-4,-4,1,-4,-4,-4,-4,2,0,-4,8,-4,-4,-4,0,8,-4,-4,-4,0,8,-4,-4,-4,0,8,-4,-4,0,-4,9,-4,-4,9,-4,-4,0,-4,10,-4,-4,-1,-4,10,-4,-4,-4,-4,10,-4,-4,1,-5,-5,-5,-5,-5,-5,-5,-5,4,-4,-4,-1,4,-4,-4,1,4,-4,-4,1,-5,-5,-5,-5,-5,-5,-5,-5,1,0
-4,-4,-4,-4,25,-4,-4,-4,-4,-4,-4,15,-4,-4,-4,-4,-4,-4,60,50,50,-4,40,1,1,1,1,3,3,3,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,16,0,0,1,1,14,8,-4,-4,1,-4,-4,-4,-4,2,-4,0,8,-4,-4,-4,0,8,-4,-4,-4,0,8,-4,-4,-4,1,3,-4,-4,-4,0,10,-4,-4,10,-4,-4,-4,1,9,-4,-4,-4,0,9,-4,-4,-4,0,9,-4,-4,0,9,-4,-4,-1,5,0,1,-1,10,0,1,1,5,0,1,1,5,0,1,1,0,1,-4,0,1,-4,0,1,0,1
-4,-4,24,47,88,-4,45,-4,40,40,40,40,40,40,40,40,43,43,43,43,-3,40,40,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,17,0,0,1,2,15,8,-4,-4,1,-4,-4,-4,-4,2,-4,0,1,-4,-4,-4,1,2,-4,-4,-4,1,2,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,2,1,0,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,3,0
14,-4,-4,-4,-3,-3,98,40,40,-4,81,43,-4,-4,35,35,35,56,-3,-3,-4,-4,-4,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,18,1,0,1,1,14,8,-4,-4,1,19,-4,-4,-4,1,-4,1,8,-4,-4,-4,1,1,1,0,-4,1,1,0,1,-5,-5,-5,-5,-5,-4,1,1,0,1,1,0,1,-4,1,1,0,1,-4,-1,1,1,1,-4,-4,1,0,2,1,1,1,1,1,2,0,2,1,9,0,2,1,4,2,0,0,4,1,1,1,1,1,-4,3,1,-4,3,1,2,1
-4,-4,-4,-4,-4,-4,-4,-4,30,-4,-4,-4,8,42,40,-4,-4,-4,-4,-4,60,60,50,1,1,1,1,1,1,1,1,-4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,-4,0,1,1,12,8,-4,-4,1,18,-4,-4,-4,1,-4,-4,8,-4,-4,0,-4,8,-4,-4,-4,1,8,-4,-4,-4,1,8,-4,-4,-4,1,8,-4,-4,-3,-4,-4,-4,-4,-3,-4,-4,-4,-4,-3,-4,-4,-4,1,-3,-4,-4,1,-5,-5,-5,-5,-5,-5,-5,-5,3,0,1,1,3,0,1,-1,3,0,1,1,-5,-5,-5,0,1,-4,0,1,0,1
20,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,40,40,40,40,60,60,-4,-4,1,1,1,1,1,1,-4,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,-4,-4,20,1,0,1,1,16,8,-4,-4,1,-4,-4,-4,-4,1,-4,1,1,-4,-4,-4,1,1,-4,-4,-4,1,1,-4,-4,-5,-5,-5,-5,-5,-4,1,1,-4,-4,1,-4,-4,-4,-4,1,-4,-4,-4,-1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,2,-4,-4,0,-5,-5,-5,-5,-5,-5,-5,1,0,-4,0,1,-5,-5
